name	rawTweet
michael_voolaid	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/Ns2CSPVLiy
MoinuddinMolla7	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
AlexDobrinin	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
004nino	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
induparvat15	BBC News - Eurovision Song Contest: Ukraine's Jamala wins competition https://t.co/kL8SYOPOYL
hbeezythethird	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
pauvillalonga10	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
mholyeagle	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
deepakditi	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
iremafsin	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
wuxeter	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
polinas30410324	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
_USHeadlines	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
USA_TopNews	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
WirSindAlleFRK	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
ConceptGrp	A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/zrhFQD7shF https://t.co/9nXxEjx1i8
slantpointnow	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/uIqo13EtuM
rLovelaceJrMKTG	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
JanSmiddy	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
ericvillar28	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
YouzW	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
ManuelJ64662246	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
xLoveWavex	RT @ESC_JR: I don't get the hate 😥Jamala won fairly and her performance was stunning 😔 she really doesn't deserve this hate 💖🇺🇦 https://t.c…
lekh27	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
The_Real_ALDAMA	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
FLmZ03	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
CitizenLayne	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
topnuntious	A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest https://t.co/M3bx8hGv9i …
laigous	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
marybubby	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
Amrina_M17	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
CHRISTINABPH2	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
jfmusy	"""A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/rtAqkDDUUn"""
andrewjgrimm	@wiwibloggs difference between @damiandmusic and Jamala greater than that between Jamala and Russia. And yet they think jury's rigged.
art4heartssake	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
TheNutellaMan	A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/sPepG1NPDF
NotMattBellamy	Lazarev congratulated Jamala, but many lack his class RT @KyivPost: Russians react to losing #Eurovision to #Ukraine https://t.co/MxqbgCMWKM
fanboypro_	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
ApollineDchamp	"RT @MarcelHVanHerpe: Don't forget that #Jamala 's ""1944"" is again actual today..."
jcarrilloromano	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
Natsu_Dragonell	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
jeremyskot	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
pagla_dost	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest https://t.co/KPuIWP0Ab5 …
Happy2BMom1	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
jimcotter1	Eurovision 2016: Furious Russia demands boycott of Ukraine over Jamala's 'anti-Kremlin' song https://t.co/VKh9tZShlA
LiveLeakVideos	Singer Jamala returns to Kyiv after Eurovision victory: Ukrainian singer Jamala has been given a raptu... https://t.co/TVFxmoWZln #Video
RoseChimera1	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
manwithmoustach	RT @VeraVanHorne: Will half-Armenian @jamala tell, how Crimean Tatars marked homes, where Armenian lived, to slaughter them later? https://…
Deilur	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Mosharraf0129	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest https://t.co/iDc8a0YIEp …
dotunsmile	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
LoganJacob5	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
lqh1997	I liked a @YouTube video https://t.co/TKaUwQBTOT Jamala - 1944 (audio)
morshed8221	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/a1y2X0kbO1
godmotherjoy	RT @billboard: Eurovision 2016: Ukraine wins with Jamala's '1944' https://t.co/if2Ukhkv5m
2013_kevins	RT @TheLocalSweden: The terrible history behind Jamala's Eurovision triumph https://t.co/DyIMhDSElK https://t.co/tCjm8TtvnF
MostBreaking	A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/JPS6UocTjt
ceitfianna	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
roxmarie	RT @twitter: Congrats @Jamala and Ukraine 🇺🇦 for the #Eurovision win! https://t.co/WX0r07rkVD
QxNews	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
acmtweetbot	#RT nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/1hTobOTAWc
kn_kamino	"RT @EuromaidanPress: Thank you to everyone who voted for Jamala!! 

We are waiting for you next year in beautiful Kyiv!! https://t.co/XmvzL…"
gorovaya98	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
antonluca_cuoco	"RT @jamala: Number 21!

Vote for Jamala!
Vote for Ukraine!

#джамала #jamala https://t.co/VmPbRuWmbw"
WeAreJournal	nytimes: A politically charged ballad by the Ukrainian singer Jamala won the Eurovision Song Contest … https://t.co/cmyja1Chqg
ARLEARADIOHITS	"RADIOBALLADS&amp;DANCE MoreThan 100.000 HITS!CLICK! https://t.co/CvCn1Nudfz
 Jamala 1944 (Eurovision 2016 - Ukraine)"
loindevant	Donbass Offers Jamala to Sing About the Ongoing Murder in Ukraine https://t.co/XzbnXmxzEU
engi_ginger	"#Eurovision2016 #Jamala💙💛 ""I know that you sing songs about peace and love.I really want peace and love to everyone"" https://t.co/WY4j234yyc"
runsinthewind	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
scorsander	"RT @RTorFAV_1: REQUESTED 
RT for Jamala (Ukraine) 
LIKE for Dami Im (Australia) #Eurovision https://t.co/luOPng27S1"
z3r0sTr3sS	"RT @EuromaidanPR: Jamala and her 1944 song bring Ukraine victory at Eurovision 2016 

Read on:... https://t.co/JDcg5ufHtJ"
vlady100vlady	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
jennerinyvr	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
al_masani	RT @MrKovalenko: Childish behavior. Russia threatens all it will boycott next #Eurovision in 2017 in #Ukraine bcs of @Jamala victory https:…
antonluca_cuoco	RT @EUDelegationUA: #EU Delegation staff sincerely congratulates #Jamala on her a Eurovision victory! Europe, se you in 2017 in Kyiv! https…
al_masani	@MrKovalenko @jamala what else would you expect from the Kremlin crooks - the #Eurovision won't accept their bribes. How tragic :-( LOL
RebelofHumanity	"RT @KenRoth: Jamala's victorious ""1944"" on plight of Crimean Tatars resonated since it's also about 2014. https://t.co/gvLUYrZeSz https://t…"
al_masani	@CAROLE_SAMAHA what do you think about Ukrainian Muslim woman's win, Jamala?
Garry_US	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
tubenewsen	Singer Jamala returns to Kyiv after Eurovision victory NEWS &gt;&gt; https://t.co/8q2bOiByG0 #news #post #press https://t.co/NGzOZvTqLK
citlembikazalea	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
colinctc	"Beautiful poignancy by Jamala at #Eurovision. ""I couldn’t spend my youth there Because you took away my peace""
https://t.co/mFhpcRouKP"
Farman_Ghous	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
ThomasHNguyen	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
jcmoreno14	Jamala - 1944 (Ukraine) Winning Performance at the 2016 Eurovision Song Contest https://t.co/qqmLsDHNgS
oupa300	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
GalitskyJen	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
Rebecca1Hoover	@Eurovision @jamala Geez, I thought the performance was amateurish, at best. If that is the best Eurovision talent, Eurovision needs help.
FranciscoJuly05	"RT @NickyByrne: Well done to Ukraine and @jamala 
@Eurovision 2016 champ."
angeliqueusacb	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
Yoyomendoza	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
KeremMusic	RT @Elif_Safak: Wow,this song gives me goosebumps, such powerful lyrics in English&amp;CrimeanTatar (Turkic), congratulations to @Jamala https:…
SimonaCatana	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
nahuelsiilva	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
zelenyychelove	"RT @StormBringer15: These words perfectly describe Ukrainian aggression in #Donbas
via @AdadjoBajofondo 
#Jamala #ESC2016 #Eurovision https…"
EmShaikh_HMD	RT @SAMAATV: #Ukrainian singer #Jamala snatches victory from #archrival #Russia to win the politically charged #Eurovision. https://t.co/2t…
peterfelts	I gather it was a big night... @tim BBC News - Eurovision Song Contest: Ukraine and Russia stunned by Jamala win https://t.co/2DDE7bCTHg
glowflymag	Jamala, Ukrainian Singer, Named Winner of 2016 Eurovision Contest #viral #news from your friends at www.glowfly… https://t.co/ID2q8P9IVP
HOMERKKK	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
AnacVentilari	Jamala - 1944 (Ukraine) Live at Semi-Final 2 of the 2016 Eurovision Song Contest https://t.co/4oPHXT4ifk
tom12497	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
ausi_batista	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
stransa_vemod	RT @manity888: Jamala the Best https://t.co/olfeXNBVz1
ThSillesen	@izpodpolja @KuratovDmitriy @margotwallstrom @jamala Still USSR made secret pact, and started 2 world war together with Germany as allied..
hiadrieeele	RT @EBU_HQ: Jamala takes the crown at 61st @Eurovision in #Stockholm #Eurovision #Congratulations #Ukraine Next year in Kyiv! https://t.co/…
ThSillesen	@VldKrCan @margotwallstrom @jamala Still Rus made secret pact, and started 2 world war as allied with Germany. Learn a little history please
samuelmatiasr	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
hamal_y	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
fireqce	"RT @JuliaDavisNews: LOL- RT declares @jamala's victory as ""the day the music died"" and the death of #Eurovision. Hilariously bad losers! ht…"
FreeportIL	Singer Jamala returns to Kyiv after Eurovision victory https://t.co/Hc4XaxLHOj LiveLeak #News
nishapari391	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/fVsWrMX3Si"
nishasingh88882	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/NA9hW7oazy"
NooliyaRks57796	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/iwJd0GYuHj"
priyasr13259224	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/UYvNU1e9ZX"
rajlaxmi74410	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/42jtBHgzgS"
rajrashmi8681	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/OhupfKBzUf"
rajp48388	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/1gEleK6qDD"
rebekakhandala1	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/ABpJu9n0SD"
rojmeriarlo	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/GmUrUUzFcJ"
PrernaPrityg477	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/xFdyRMdWdz"
rsmikumari42	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/GATZ1NGjUv"
sannakhan8523	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/0mRgLYvKx0"
sakshi97711razz	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/dGUIW2ecey"
sharmaanita0621	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/PyOBtk7uXX"
siarapup785	"Eurovision Winner, Jamala, Offends Russia With '1944'

 https://t.co/j2fwnUzfqR"
DoraisAudria	"RT @AndriiOlefirov: Ukraina voitti euroviisut 2016!
https://t.co/4Z98XL9gJa
Thank you very much, dear Finnish supporters of @jamala https:/…"
ManterBebe	"RT @AndriiOlefirov: Ukraina voitti euroviisut 2016!
https://t.co/4Z98XL9gJa
Thank you very much, dear Finnish supporters of @jamala https:/…"
goi85	Jamala - 1944 (Ukraine) Winning Performance at the 2016 Eurovision Song Contest https://t.co/H7izSZZV57
MiguelASAM	@nytimes @Eurovision TheMedia feels disturbed by the victory of such POWERFUL LOVE &amp; tries to poison it making it political👎🏼 ✨🌟💛@jamala 💛🌟✨
abnc8888	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
dlUkraine	Ukraine's Jamala Takes Home Eurovision 2016 Crown: Many analysts interpreted the performance as a swipe at pr... https://t.co/kWPotGvsXh
dlUkraine	Ukraine crowned winners of Eurovision 2016: Image: Ukraine's Jamala reacts on winning the Eurovision Song Con... https://t.co/ljSLYNV4Y7
kengfeed	Ukraine's Jamala wins 2016 Eurovision song contest: Susana Jamaladinova, a 32-year-old trained opera singer w... https://t.co/eQF5jMUKC9
yamimrev1	RT @ConceptGrp: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/zrhFQD7shF https:…
infidhatesharia	RT @archetype2017: @Inthepeninsula @maria_engstrom @jamala its time #ThePeople attack against the genocide of a another People. https://t.c…
HMAVilnius	RT @UKinUkraine: Congratulations to @jamala on winning #Eurovision 2016!💙💛
GonzaS94	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
curbimmigration	From The Telegraph: Eurovision 2016: Furious Russia demands boycott of Ukraine over Jamala's… https://t.co/aOdk98qwMu #immigration #uk
_ana2016	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
little7bear	RT @EuromaidanPress: Thank you, Jamala #Ukraine https://t.co/uTZCooqe21 https://t.co/v7XINNRGJI
ihotmusiccharts	1944 by Jamala is number 3 in Azerbaijan #iTunes top 100 songs https://t.co/51Mkk6N7MJ
DenzelTanja	RT @AmbassadorPower: Incredible performance by #Jamala, giving Crimean Tatars, suffering persecution &amp; abuse, reason to celebrate https://t…
itsMeeeTete	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
yuri_khovyakov	RT @nytimes: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/WMvL43vlS3 https://t…
madeleineinfran	"RT @JohnDelacour: .@Inthepeninsula
What @jamala is singing about is USSR’s removal from #Crimea of her grandparents’ generation, ardent wor…"
Gaydio	Morning from John and Emma. Jamala had a great weekend. How was yours?
jomeland	"RT @ChristopherJM: Russian TV says @jamala's #Eurovision win is part of the West's ""information war against Russia."" https://t.co/ebMgPnJ30f"
ClarissaCather4	"RT @ChristopherJM: Russian TV says @jamala's #Eurovision win is part of the West's ""information war against Russia."" https://t.co/ebMgPnJ30f"
StockTalkTV	CNBC Europe: Ukraine's Jamala wins 2016 Eurovision song contest https://t.co/7iJZWSaUgw
OfEurope	Ukraine's Jamala wins 2016 Eurovision song contest: Susana Jamaladinova, a 32-year-old trained ... https://t.co/t7RCGk4d6x #europe #news
Forex_warrior	Ukraine's Jamala wins 2016 Eurovision song contest: Susana Jamaladinova, a 32-year-old trained opera singer w... https://t.co/eFRBHg3A40
yasarsari1134	"Ukraine: ""1944"" by Jamala - Winner of Eurovision Song Contest 2016 - BBC https://t.co/y28BoaxB3R"
jomeland	RT @EuromaidanPR: EMPR reminds what lies behind #Eurovision winner #Jamala's song 1944: https://t.co/fqouzxMMYP https://t.co/QS1hzt8ZsR
AbbyMalio	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
Tweet2UK	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/Ab2sOvaZHd
XmasGifts4Her	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/5djskO0Icz
KyivPost	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za
DirectoryBridal	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/7N9ZvChNsA
WeddingServiceL	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/ZCh0s17TSC
Gifts4HerOnline	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/ttSGrt82nO
GMlovelie67xxx	RT @Gaydio: Morning from John and Emma. Jamala had a great weekend. How was yours?
WeddingShoes_UK	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/jIHPUJ395k
Wedding__World	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/hqX0sROHLW
BurlesqueShoes1	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/CE4y41KfvX
Prom_Fashion	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/inN8Z7eaax
1MillionLogos	Here’s how Jamala won Eurovision 2016 for Ukraine in a nail-biting finish https://t.co/rjScGRxJ7b
Leshchenkos	RT @pauloCanning: Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02…
ambassadorua	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/1Hy7y9zvo2 https://t.co/3nx77Kswza
aalba3	RT @Eurovision: Over 7 million Tweets were sent for tonight's #Eurovision smashing last year's record. Congratulations @Jamala! #UKR https:…
ayubsumbal	"""When strangers r coming, they come to ur house, they kill u all, and say 'we're not guilty'. Who is this stranger ? @jamala #Eurovision"
UA_Emb_FI	RT @KyivPost: Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za
MickAntoniw1	Arrived at BBC to talk about #Eurovision2016 #Jamala And persecution of Crimean Tatars by #Putin
JayneEdwards2	"RT @JohnDelacour: .@Inthepeninsula
What @jamala is singing about is USSR’s removal from #Crimea of her grandparents’ generation, ardent wor…"
causetrinity	"Truly ALIVE #Jamala(#Ukraine winner) versus (#Putin-esque) ""#happiness"" #Lazarev
#Eurovision
https://t.co/ayichz1TkT
https://t.co/E2FvJZHgZj"
getmeupdates	Ukraine's Jamala returns home to a hero's welcome after Eurovision win - https://t.co/tM7amnl2IX https://t.co/wA8usXZryy
dlsweden	Russians cry foul over song contest result: Jamala celebrates after winning the Eurovision Song Contest final... https://t.co/GYUM8Mhmf0
expres_ua	RT @pauloCanning: Leading Ukrainian reformist MP: 'Jamala's victory is one more chance for Ukraine presented by fate' https://t.co/oaYGjJ02…
Sasha_John12	RT @alexfed_uk: Allegedly, the parents of oppressed #Jamala live in the #Crimea have #Russian citizenship &amp; benefits 4 utility bills https:…
MindJargon	RT @WSJ: Ukraine’s Jamala wins Eurovision song contest; Russians complain of political subtext    https://t.co/5uJie9555l https://t.co/XmrU…
ihotmusiccharts	1944 by Jamala is number 3 in Cyprus #iTunes top 100 songs https://t.co/ak6bg8aJGB
Gary_Archibald	RT @BBCBreaking: Ukraine's Jamala is voted winner of the 2016 Eurovision Song Contest, held in Stockholm, Sweden https://t.co/VXa35BeCzS
JhieRamores	RT @ConceptGrp: A politically charged ballad by the Ukrainian singer Jamala won the @Eurovision Song Contest https://t.co/zrhFQD7shF https:…
imBrendzzz	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
belov_stepan	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
rightawayfunds	RightAwayFunds Shared: CNBC: Ukraine's Jamala wins 2016 Eurovision song contest https://t.co/zTHTuXdNYn
1111Tony	"RT CNBC ""Ukraine's Jamala wins 2016 Eurovision song contest https://t.co/wv1FtTWj37"""
CNBCTradersFan	CNBC: Ukraine's Jamala wins 2016 Eurovision song contest https://t.co/f7n1ilgG8x
harriemilylw	RT @jtimberlake: #CantStopTheFeeling #Eurovision. Congrats @jamala #Ukraine!! https://t.co/1z9fA31yTR
ayubsumbal	"""When strangers are coming, they come to your house, they kill you all, https://t.co/JdkIC60xrk @PutinRF_Eng @jamala @PutinRF"
birthevoss	RT @VeraVanHorne: Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https:…
ohsnapitzexo	Congratulations to Jamala for winning the 61st Eurovision Song Contest.
